all 	 overlaped
10757 	 7529
10757 	 7864
10757 	 6362
10757 	 8622
10757 	 7897
10757 	 7372
10757 	 7478
10757 	 6038
10757 	 6086
10757 	 6727
10757 	 7466
10757 	 7046
10757 	 7344
12624 	 8734
12624 	 5820
12624 	 7081
12624 	 8615
12624 	 8616
12624 	 7447
12624 	 9671
12624 	 8754
12624 	 8342
12624 	 8491
12624 	 7150
12624 	 9673
12624 	 9004
12624 	 8569
12624 	 8269
12624 	 6531
12624 	 6373
12624 	 7260
12624 	 8087
12624 	 7697
12624 	 8011
13239 	 5913
13239 	 7105
13239 	 8757
13239 	 9178
13239 	 7481
13239 	 9818
13239 	 8786
13239 	 8611
13239 	 8833
13239 	 7309
13239 	 9921
13239 	 9017
13239 	 8577
13239 	 8557
13239 	 6581
13239 	 6469
13239 	 7622
13239 	 8269
13239 	 8000
13239 	 8082
8533 	 5699
8533 	 6497
8533 	 6480
8533 	 5953
8533 	 6898
8533 	 6554
8533 	 6394
8533 	 6424
8533 	 5949
8533 	 7051
8533 	 6663
8533 	 6262
8533 	 6262
8533 	 5366
8533 	 5134
8533 	 6037
8533 	 6419
8533 	 6034
8533 	 6102
10698 	 7529
10698 	 7556
10698 	 6817
10698 	 8131
10698 	 7462
10698 	 7342
10698 	 7695
10698 	 6331
10698 	 8090
10698 	 7749
10698 	 7467
10698 	 7141
10698 	 5956
10698 	 5606
10698 	 6379
10698 	 7208
10698 	 6990
10698 	 6983
12782 	 8631
12782 	 7496
12782 	 9784
12782 	 8918
12782 	 8277
12782 	 8473
12782 	 6984
12782 	 9772
12782 	 9086
12782 	 8382
12782 	 8034
12782 	 6322
12782 	 6146
12782 	 7334
12782 	 8266
12782 	 7696
12782 	 7917
13192 	 7578
13192 	 9874
13192 	 8842
13192 	 8521
13192 	 8950
13192 	 7276
13192 	 9871
13192 	 9129
13192 	 8523
13192 	 8488
13192 	 6632
13192 	 6440
13192 	 7524
13192 	 8196
13192 	 7959
13192 	 8052
10369 	 8513
10369 	 7815
10369 	 7691
10369 	 7547
10369 	 6565
10369 	 8477
10369 	 7994
10369 	 7525
10369 	 7185
10369 	 5921
10369 	 5611
10369 	 6720
10369 	 7649
10369 	 7053
10369 	 7301
14731 	 9588
14731 	 8840
14731 	 9209
14731 	 7442
14731 	 11030
14731 	 9784
14731 	 8956
14731 	 8789
14731 	 6616
14731 	 6657
14731 	 7828
14731 	 8883
14731 	 8046
14731 	 8593
13606 	 8607
13606 	 8888
13606 	 7387
13606 	 10568
13606 	 9418
13606 	 8573
13606 	 8409
13606 	 6596
13606 	 6570
13606 	 7661
13606 	 8568
13606 	 7995
13606 	 8321
12320 	 8124
12320 	 6927
12320 	 9172
12320 	 8646
12320 	 8264
12320 	 7860
12320 	 6205
12320 	 6070
12320 	 7118
12320 	 7846
12320 	 7539
12320 	 7620
12874 	 7129
12874 	 9588
12874 	 8983
12874 	 8432
12874 	 8473
12874 	 6528
12874 	 6436
12874 	 7376
12874 	 8112
12874 	 7658
12874 	 8023
11039 	 8601
11039 	 8120
11039 	 7455
11039 	 7643
11039 	 6323
11039 	 5774
11039 	 7201
11039 	 7402
11039 	 6844
11039 	 7210
15878 	 10042
15878 	 9089
15878 	 8989
15878 	 6845
15878 	 6857
15878 	 8157
15878 	 9166
15878 	 8284
15878 	 8774
13006 	 8567
13006 	 8161
13006 	 6407
13006 	 6146
13006 	 7322
13006 	 8212
13006 	 7672
13006 	 7967
12643 	 7979
12643 	 6219
12643 	 5933
12643 	 7043
12643 	 7779
12643 	 7663
12643 	 7614
12890 	 6801
12890 	 6685
12890 	 7804
12890 	 8227
12890 	 7857
12890 	 8225
9554 	 5758
9554 	 6361
9554 	 6873
9554 	 6564
9554 	 6842
9604 	 6373
9604 	 6848
9604 	 6461
9604 	 6856
11166 	 8083
11166 	 7233
11166 	 7609
11507 	 7218
11507 	 7648
11472 	 7186
